,group,subgroup,BK_CONFIRMED_CASE_RATE,BX_CONFIRMED_CASE_RATE,MN_CONFIRMED_CASE_RATE,QN_CONFIRMED_CASE_RATE,SI_CONFIRMED_CASE_RATE,BK_HOSPITALIZED_RATE,BX_HOSPITALIZED_RATE,MN_HOSPITALIZED_RATE,QN_HOSPITALIZED_RATE,SI_HOSPITALIZED_RATE,BK_DEATH_RATE,BX_DEATH_RATE,MN_DEATH_RATE,QN_DEATH_RATE,SI_DEATH_RATE
0,Boroughwide,Boroughwide,31794.95,31453.24,30389.09,33443.72,39982.32,2428.92,3093.41,1902.98,2513.6,2592.5,553.85,600.76,377.85,593.96,566.64
4,Age,0-17,70627.62,68788.08,73297.47,75192.57,90815.16,1378.44,1826.1599999999999,1278.55,1088.75,1044.4099999999999,3.13,2.31,2.59,2.23,3.88
5,Age,18-24,35681.47,29665.52,40519.27,37879.37,45989.55,944.53,1192.02,517.68,798.59,741.08,12.51,9.33,5.49,11.62,20.17
6,Age,25-34,36298.11,34979.75,34661.03,39395.62,49518.69,1066.93,1723.96,633.36,1229.16,1024.43,27.44,43.98,14.65,33.36,23.18
7,Age,35-44,36717.92,38885.92,32166.03,40241.35,48796.77,1409.27,2307.77,1019.83,1609.76,1515.87,83.24,142.15,43.56,105.49,86.19
8,Age,45-54,34768.73,36158.61,29853.82,36856.49,44284.11,2107.22,3102.47,1501.15,2151.06,2190.99,277.62,356.8,132.94,259.02,224.4
9,Age,55-64,32187.87,35554.19,29026.56,33232.49,39071.53,3557.84,5049.37,2723.04,3448.29,3322.24,677.55,884.73,366.19,682.6,455.16
10,Age,65-74,29376.96,30161.5,24103.38,28257.78,31569.47,5860.36,7863.19,3855.04,5335.8,5563.77,1584.36,1994.21,808.38,1486.92,1300.93
11,Age,75+,29104.74,26961.92,24659.73,26313.46,32176.34,11994.34,12281.27,8576.61,10285.81,12159.18,4833.77,4754.77,3031.31,4360.75,4803.63
12,Race/ethnicity,Asian/Pacific-Islander,25744.09,26498.49,24601.88,26202.63,28449.26,1283.23,2097.29,929.8,1443.61,1097.55,324.45,373.42,230.64,328.46,295.03
13,Race/ethnicity,Black/African-American,21451.95,24793.43,26007.09,23953.22,29841.36,2495.72,3246.47,3106.81,2242.8,3021.9,555.23,608.25,516.38,485.16,643.48
14,Race/ethnicity,Hispanic/Latino,28859.04,28392.52,26842.31,32313.53,37815.7,2474.86,2724.08,2226.11,2741.1,3461.51,566.05,551.14,422.64,591.59,645.53
15,Race/ethnicity,White,23993.14,26679.18,21948.46,25664.59,35596.35,1866.03,2320.78,836.17,1554.84,1898.48,433.18,451.82,166.95,387.57,418.86
16,Sex,Female,33258.44,33738.46,31129.06,34953.95,40894.48,2364.01,2989.34,1744.34,2305.67,2452.89,473.47,499.56,323.25,483.89,506.51
17,Sex,Male,29992.31,28782.1,29003.55,31696.91,38931.83,2499.93,3208.88,2077.96,2733.0,2740.24,643.21,713.91,438.12,710.49,630.27
